title,console,genre,release_date,publisher,developer,total_sale,na_sale,pal_sale,japan_sale,other_sale
Grand Theft Auto: San Andreas,PS2,action,2004-10-26,Rockstar Games,Rockstar North,20.81,9.43,0.4,0.41,10.57
Grand Theft Auto V,PS3,action,2013-09-17,Rockstar Games,Rockstar North,20.32,6.37,9.85,0.99,3.12
Grand Theft Auto V,PS4,action,2014-11-18,Rockstar Games,Rockstar North,19.39,6.06,9.71,0.6,3.02
Grand Theft Auto: Vice City,PS2,action,2002-10-28,Rockstar Games,Rockstar North,16.15,8.41,5.49,0.47,1.78
Grand Theft Auto V,X360,action,2013-09-17,Rockstar Games,Rockstar North,15.86,9.06,5.33,0.06,1.42
Grand Theft Auto III,PS2,action,2001-10-23,Rockstar Games,DMA Design,13.1,6.99,4.51,0.3,1.3
Grand Theft Auto IV,X360,action,2008-04-29,Rockstar Games,Rockstar North,11.09,6.8,3.11,0.14,1.04
Grand Theft Auto IV,PS3,action,2008-04-29,Rockstar Games,Rockstar North,10.57,4.79,3.73,0.44,1.62
Uncharted 4: A Thief's End,PS4,action,2016-05-10,Sony Interactive Entertainment,Naughty Dog,10.33,4.49,3.93,0.21,1.7
Grand Theft Auto V,XOne,action,2014-11-18,Rockstar Games,Rockstar North,8.72,4.7,3.25,0.01,0.76
Grand Theft Auto: Liberty City Stories,PSP,action,2005-10-25,Rockstar Games,Rockstar Leeds,7.72,2.9,2.83,0.24,1.74
Uncharted 3: Drake's Deception,PS3,action,2011-11-01,Sony Computer Entertainment,Naughty Dog,6.84,2.77,2.81,0.19,1.06
Uncharted 2: Among Thieves,PS3,action,2009-10-13,Sony Computer Entertainment,Naughty Dog,6.74,3.28,2.22,0.21,1.02
Red Dead Redemption,PS3,action,2011-10-11,Rockstar Games,Rockstar San Diego,6.57,2.82,2.58,0.17,1
Red Dead Redemption,X360,action,2010-05-18,Rockstar Games,Rockstar San Diego,6.5,3.77,2.03,0.09,0.6
Driver,PS,action,1999-06-30,GT Interactive,Reflections Interactive,6.27,3.11,2.8,0.02,0.33
God of War (2018),PS4,action,2018-04-20,Sony Interactive Entertainment,SIE Santa Monica Studio,6.15,2.83,2.17,0.13,1.02
Metal Gear Solid 2: Sons of Liberty,PS2,action,2001-11-12,Konami,Konami Computer Entertainment Japan,6.05,2.45,2.01,0.87,0.72
Metal Gear Solid,PS,action,1998-10-21,Konami,Konami Computer Entertainment Japan,6.03,3.18,1.83,0.78,0.24
Metal Gear Solid 4: Guns of the Patriots,PS3,action,2008-06-12,Konami,Kojima Productions,6,2.63,1.72,0.83,0.81
Resident Evil 2,PS,action,1998-01-21,Capcom,Capcom,5.82,1.88,1.47,2.02,0.45
Uncharted: The Nathan Drake Collection,PS4,action,2015-10-07,Sony Computer Entertainment,Bluepoint Games,5.7,2.55,2.11,0.1,0.94
LEGO Star Wars: The Complete Saga,Wii,action,2007-11-06,LucasArts,Traveller's Tales,5.66,3.57,1.57,NA,0.52
Assassin's Creed II,PS3,action,2009-11-17,Ubisoft,Ubisoft Montreal,5.57,2.54,1.95,0.21,0.86
Assassin's Creed,X360,action,2007-11-13,Ubisoft,Ubisoft Montreal,5.55,3.28,1.64,0.07,0.56
Batman: Arkham City,PS3,action,2011-10-18,Warner Bros. Interactive,Rocksteady Studios,5.54,2.72,1.89,0.11,0.82
Assassin's Creed II,X360,action,2009-11-17,Ubisoft,Ubisoft Montreal,5.3,3.14,1.55,0.08,0.52
Resident Evil 5,PS3,action,2009-03-13,Capcom,Capcom,5.1,1.96,1.42,1.08,0.64
Grand Theft Auto: Vice City Stories,PSP,action,2006-10-31,Rockstar Games,Rockstar Leeds,5.08,1.7,2.03,0.16,1.19
Resident Evil,PS,action,1996-03-30,Capcom,Capcom,5.05,2.05,1.16,1.11,0.73
Uncharted: Drake's Fortune,PS3,action,2007-11-16,Sony Computer Entertainment,Naughty Dog,4.97,2.32,1.73,0.12,0.8
Assassin's Creed,PS3,action,2007-11-13,Ubisoft,Ubisoft Montreal,4.83,1.91,2.01,0.09,0.82
God of War III,PS3,action,2010-03-16,Sony Computer Entertainment,SCEA Santa Monica Studio,4.81,2.74,1.36,0.12,0.6
LEGO Star Wars: The Complete Saga,DS,action,2007-11-06,LucasArts,Traveller's Tales,4.77,2.83,1.49,NA,0.45
Batman: Arkham City,X360,action,2011-10-18,Warner Bros. Interactive,Rocksteady Studios,4.75,2.99,1.28,0.04,0.44
Driver 2,PS,action,2000-11-13,Atari,Reflections Interactive,4.73,2.36,2.1,0.02,0.25
Monster Hunter: World,PS4,action,2018-01-26,Capcom,Capcom,4.67,1.03,1.06,2.17,0.42
The Lord of the Rings: The Two Towers,PS2,action,2002-10-21,Electronic Arts,Stormfront Studios,4.67,1.94,1.95,0.08,0.7
Tomb Raider,PS,action,1996-11-14,Eidos Interactive,Core Design Ltd.,4.63,2.29,1.97,0.13,0.24
Spider-Man: The Movie,PS2,action,2002-04-15,Activision,Treyarch,4.48,2.71,1.51,0.03,0.23
God of War,PS2,action,2005-03-22,Sony Computer Entertainment,SCEA Santa Monica Studio,4.45,2.71,1.29,0.02,0.43
Batman: Arkham Asylum,PS3,action,2009-08-25,Eidos Interactive,Rocksteady Studios,4.28,2.26,1.33,0.07,0.63
Assassin's Creed: Revelations,PS3,action,2011-11-15,Ubisoft,Ubisoft Montreal,4.23,1.41,2.03,0.1,0.69
Metal Gear Solid 3: Snake Eater,PS2,action,2004-11-17,Konami,KCEJ / Kojima Productions,4.23,1.46,0,0.83,1.93
Assassin's Creed: Revelations,X360,action,2011-11-15,Ubisoft,Ubisoft Montreal,4.22,2.28,1.47,0.04,0.44
Frogger,PS,action,1997-09-30,Hasbro Interactive,Millenium Interactive,4.16,3.79,0.27,NA,0.11
Assassin's Creed: Unity,PS4,action,2014-11-11,Ubisoft,Ubisoft Montreal,4.14,1.25,2.16,0.09,0.65
Batman: Arkham Knight,PS4,action,2015-06-23,Warner Bros. Interactive,Rocksteady Studios,4.11,1.65,1.68,0.11,0.66
God of War II,PS2,action,2007-03-13,Sony Computer Entertainment,SCEA Santa Monica Studio,4.07,2.32,0.04,0.04,1.67
Assassin's Creed Origins,PS4,action,2017-10-27,Ubisoft,Ubisoft Montreal,4.06,1.22,2.11,0.11,0.63
Far Cry 5,PS4,action,2018-03-27,Ubisoft,Ubisoft,3.95,1.44,1.73,0.15,0.62
Resident Evil Director's Cut,PS,action,1997-01-01,Capcom,Capcom,3.77,1.82,1.24,0.47,0.25
Harry Potter and the Sorcerer's Stone,PS,action,2001-11-15,Electronic Arts,Argonaut Games,3.73,1.37,2,0.14,0.22
Resident Evil 3: Nemesis,PS,action,1999-11-11,Capcom,Capcom,3.72,1.3,0.77,1.54,0.11
Resident Evil 4,PS2,action,2005-10-25,Capcom,Capcom Production Studio 4,3.62,2.08,0.83,0.46,0.25
Luigi's Mansion,GC,action,2001-11-17,Nintendo,Nintendo EAD,3.6,2.38,0.67,0.46,0.1
Assassin's Creed Syndicate,PS4,action,2015-10-23,Ubisoft,Ubisoft Quebec,3.6,0.9,2.06,0.08,0.55
Assassin's Creed: Unity,XOne,action,2014-11-11,Ubisoft,Ubisoft Montreal,3.58,2.34,0.9,0,0.34
Monster Hunter Generations,3DS,action,2016-07-15,Capcom,Capcom,3.56,0.42,0.26,2.82,0.07
Grand Theft Auto: Liberty City Stories,PS2,action,2006-06-06,Rockstar Games,Rockstar Leeds,3.54,1.56,1.4,0.07,0.5
The Getaway,PS2,action,2003-01-19,Sony Computer Entertainment,Team Soho,3.54,1.23,1.77,0.05,0.49
Batman: Arkham Asylum,X360,action,2009-08-25,Eidos Interactive,Rocksteady Studios,3.54,2.24,0.95,0.02,0.33
Assassin's Creed: Brotherhood,X360,action,2010-11-16,Ubisoft,Ubisoft Montreal,3.53,2.87,0.39,0.03,0.25
LEGO Star Wars: The Video Game,PS2,action,2005-04-02,Eidos Interactive,Traveller's Tales,3.53,1.98,1.14,0.01,0.41
Resident Evil 5,X360,action,2009-03-13,Capcom,Capcom,3.53,2.13,0.93,0.12,0.34
Rugrats in Paris: The Movie,PS,action,2000-10-29,THQ,Avalanche Software,3.52,1.96,1.33,NA,0.23
Kung Fu,NES,action,1985-10-01,Nintendo,Irem Software Engineering,3.5,1.64,0.38,1.42,0.06
Grand Theft Auto 2,PS,action,1999-10-25,Rockstar Games,DMA Design,3.42,1.13,2.07,NA,0.22
Spider-Man 2,PS2,action,2004-06-28,Activision,Treyarch,3.41,1.75,1.2,0.02,0.43
Watch Dogs 2,PS4,action,2016-11-15,Ubisoft,Ubisoft,3.36,0.98,1.74,0.12,0.52
Star Wars Episode III: Revenge of the Sith,PS2,action,2005-05-04,LucasArts,The Collective,3.32,1.47,1.39,0.03,0.43
Resident Evil VII: Biohazard,PS4,action,2017-01-24,Capcom,Capcom,3.31,0.88,1.56,0.41,0.46
The Lord of the Rings: The Return of the King,PS2,action,2003-11-05,Electronic Arts,"Hypnos Entertainment, Inc.",3.28,1.5,1.28,0.05,0.46
True Crime: Streets of LA,PS2,action,2003-11-03,Activision,Luxoflux,3.27,1.89,1.05,0.02,0.31
God of War: Chains of Olympus,PSP,action,2008-03-04,Sony Computer Entertainment,Ready at Dawn,3.19,1.48,1,0.04,0.66
Middle-Earth: Shadow of Mordor,PS4,action,2014-09-30,Warner Bros. Interactive Entertainment,Monolith Productions,3.19,1.03,1.6,0.05,0.51
Enter the Matrix,PS2,action,2003-05-14,Atari,Shiny Entertainment,3.18,1.78,1.12,0.09,0.19
Spider-Man,PS,action,2000-08-30,Activision,Neversoft Entertainment,3.13,1.7,1.25,0.02,0.16
Resident Evil 6,PS3,action,2012-10-02,Capcom,Capcom,3.12,0.88,0.97,0.88,0.39
Saints Row 2,X360,action,2008-10-14,THQ,Volition Inc.,3.07,1.98,0.79,0.02,0.28
Metal Gear Solid V: The Phantom Pain,PS4,action,2015-09-01,Konami Digital Entertainment,Kojima Productions,3.04,0.97,1.15,0.5,0.42
Tom Clancy's Splinter Cell,XB,action,2002-11-17,Ubisoft,Ubisoft,3.02,1.85,1.04,NA,0.13
inFAMOUS,PS3,action,2009-05-26,Sony Computer Entertainment,Sucker Punch Productions,2.99,1.76,0.68,0.12,0.42
Devil May Cry,PS2,action,2001-10-16,Capcom,Capcom,2.99,1.36,0.86,0.64,0.13
Hitman 2: Silent Assassin,PS2,action,2002-10-01,Eidos Interactive,IO Interactive,2.96,1.36,1.15,0.04,0.41
Assassin's Creed: Brotherhood,PS3,action,2010-11-16,Ubisoft,Ubisoft Montreal,2.85,1.87,0.57,0.11,0.3
Skylanders: Spyro's Adventure,Wii,action,2011-10-16,Activision,Toys for Bob,2.79,1.35,1.15,NA,0.3
Star Wars: The Force Unleashed,X360,action,2008-09-16,LucasArts,LucasArts,2.77,1.74,0.78,NA,0.26
Saints Row: The Third,X360,action,2011-11-15,THQ,Volition Inc.,2.77,1.26,1.14,0.07,0.3
Onimusha: Warlords,PS2,action,2001-03-13,Capcom,Flagship,2.7,0.99,0.48,1.09,0.14
LEGO Star Wars II: The Original Trilogy,PS2,action,2006-09-12,LucasArts,Traveller's Tales,2.69,1.85,0.64,0.01,0.19
Hannah Montana,DS,action,2006-10-10,Buena Vista,DC Studios,2.65,1.59,0.8,NA,0.26
Tom Clancy's Splinter Cell,PS2,action,2003-04-08,Ubisoft,Ubisoft,2.65,1.15,1.11,NA,0.4
Star Wars: Shadows of the Empire,N64,action,1996-12-03,Nintendo,LucasArts,2.65,2,0.5,0.12,0.03
God of War Collection,PS3,action,2009-11-17,Sony Computer Entertainment,Bluepoint Games,2.6,1.7,0.45,0.06,0.4
Streets of Rage,GEN,action,1990-12-31,Sega,Sega,2.6,1.86,0.55,0.11,0.08
LEGO Star Wars: The Complete Saga,X360,action,2007-11-06,LucasArts,Traveller's Tales,2.59,1.53,0.83,NA,0.24
Tomb Raider (2013),PS3,action,2013-03-05,Square Enix,Crystal Dynamics,2.51,0.6,1.45,0.08,0.38
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,action,2003-10-31,Rockstar Games,Rockstar North,2.49,1.84,0.56,NA,0.09
Saints Row: The Third,PS3,action,2011-11-15,THQ,Volition Inc.,2.48,0.86,1.06,0.18,0.37
Tomb Raider: The Last Revelation,PS,action,1999-11-22,Eidos Interactive,Core Design Ltd.,2.48,1.15,1.14,0.06,0.13
Assassin's Creed Origins,XOne,action,2017-10-27,Ubisoft,Ubisoft Montreal,2.47,1.34,0.92,NA,0.22
Dying Light,PS4,action,2015-01-27,Warner Bros. Interactive,Techland,2.45,1.18,0.74,0.13,0.4
New Super Luigi U,WiiU,action,2013-08-25,Nintendo,Nintendo,2.42,1.25,0.75,0.22,0.2
Dino Crisis,PS,action,1999-08-31,Capcom,Capcom Production Studio 4,2.41,0.81,0.76,0.7,0.14
God of War: Ascension,PS3,action,2013-03-12,Sony Computer Entertainment,SCEA Santa Monica Studio,2.4,1.23,0.72,0.04,0.41
Dead Island,X360,action,2011-09-06,Deep Silver,Techland,2.38,1.48,0.7,NA,0.21
The Incredibles,PS2,action,2004-10-31,THQ,Heavy Iron Studios,2.37,0.96,1.08,0.04,0.3
Uncharted: The Lost Legacy,PS4,action,2017-08-22,Sony Interactive Entertainment,Naughty Dog,2.37,0.58,1.38,0.04,0.36
Lego Marvel Super Heroes,X360,action,2013-10-22,Warner Bros. Interactive Entertainment,Traveller's Tales,2.34,1.26,0.87,NA,0.21
Resident Evil - Code: Veronica X,PS2,action,2001-08-21,Capcom,Capcom,2.34,1.08,0.7,0.34,0.21
Assassin's Creed IV: Black Flag,XOne,action,2013-11-22,Ubisoft,Ubisoft Montreal,2.32,1.51,0.59,NA,0.22
Grand Theft Auto,PS,action,1998-06-30,Take-Two Interactive,DMA Design,2.32,0.79,1.35,0.04,0.14
LEGO Star Wars: The Complete Saga,PS3,action,2007-11-06,LucasArts,Traveller's Tales,2.31,1.02,0.93,NA,0.36
Dead Island,PS3,action,2011-09-06,Deep Silver,Techland,2.29,1.08,0.74,0.15,0.32
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,action,1990-12-01,Ultra Games,Konami,2.23,1.74,0.25,0.21,0.03
Star Wars: The Force Unleashed,PS3,action,2008-09-16,LucasArts,LucasArts,2.22,1.01,0.86,NA,0.35
Devil May Cry 3: Dante's Awakening Special Edition,PS2,action,2006-01-24,Capcom,Capcom,2.21,1.06,0.82,0.05,0.28
Frogger,2600,action,1982-01-01,Parker Bros.,Konami,2.2,2.06,0.12,NA,0.02
Saints Row,X360,action,2006-08-29,THQ,Volition Inc.,2.18,1.17,0.77,0.02,0.22
Final Fantasy Tactics Advance,GBA,action,2003-09-08,Nintendo,Square Enix,2.13,0.82,0.37,0.89,0.05
Dynasty Warriors 4,PS2,action,2003-03-25,KOEI,Omega Force,2.11,0.63,0.21,1.13,0.13
Devil May Cry 3: Dante's Awakening,PS2,action,2005-03-01,Capcom,Capcom,2.09,0.99,0.63,0.29,0.19
Finding Nemo,PS2,action,2003-05-09,THQ,Traveller's Tales,2.09,1.26,0.6,0.05,0.18
Dead Rising,X360,action,2006-08-08,Capcom,Capcom Production Studio 1,2.09,1.16,0.65,0.08,0.2
Metal Gear Solid: Peace Walker,PSP,action,2010-06-08,Konami,Kojima Productions,2.08,0.46,0.42,0.96,0.25
The Incredibles,GBA,action,2004-10-31,THQ,Helixe,2.06,1.15,0.77,0.04,0.1
Hitman: Absolution,PS3,action,2012-11-20,Square Enix,IO Interactive,2.06,0.59,1.08,0.07,0.32
Toy Story 3: The Video Game,DS,action,2010-06-15,Disney Interactive Studios,Avalanche Software,2.06,0.89,0.95,0.02,0.21
Tom Clancy's Splinter Cell: Conviction,X360,action,2010-04-13,Ubisoft,Ubisoft Montreal,2.06,1.2,0.62,0.04,0.19
Middle-Earth: Shadow of War,PS4,action,2017-10-10,Warner Bros. Interactive Entertainment,Monolith Productions,2.04,0.82,0.84,0.06,0.33
Peter Jackson's King Kong: The Official Game of the Movie,PS2,action,2005-11-21,Ubisoft,Ubisoft Montpellier,2.04,0.71,1.02,NA,0.31
Tenchu: Stealth Assassins,PS,action,1998-08-31,Activision,Acquire,1.99,0.95,0.64,0.27,0.13
Resident Evil 6,X360,action,2012-10-02,Capcom,Capcom,1.97,1.12,0.61,0.07,0.16
Devil May Cry 2,PS2,action,2003-01-25,Capcom,Capcom,1.97,0.71,0.58,0.51,0.17
E.T.: The Extra Terrestrial,2600,action,1982-01-01,Atari,Atari,1.97,1.84,0.11,NA,0.02
Dishonored 2,PS4,action,2016-11-10,Bethesda Softworks,Arkane Studios,1.97,0.62,1.02,0.01,0.31
Lego Marvel Super Heroes,PS3,action,2013-10-22,Warner Bros. Interactive Entertainment,Traveller's Tales,1.96,0.77,0.85,0.01,0.32
Grand Theft Auto: San Andreas,XB,action,2005-06-07,Rockstar Games,Rockstar North,1.95,1.26,0.61,NA,0.09
Lego Marvel Super Heroes,PS4,action,2013-11-15,Warner Bros. Interactive Entertainment,Traveller's Tales,1.91,0.59,1,0.01,0.3
Tomb Raider (2013),X360,action,2013-03-05,Square Enix,Crystal Dynamics,1.9,0.86,0.87,0.01,0.16
inFAMOUS 2,PS3,action,2011-06-07,Sony Computer Entertainment,Sucker Punch Productions,1.87,1.05,0.48,0.08,0.26
Dynasty Warriors 3,PS2,action,2001-11-26,KOEI,Omega Force,1.87,0.53,0.16,1.07,0.1
Star Wars: The Force Unleashed,Wii,action,2008-09-16,LucasArts,Krome Studios,1.86,1.11,0.56,0,0.19
The Evil Within,PS4,action,2014-10-14,Bethesda Softworks,Tango Gameworks,1.86,0.56,0.9,0.11,0.28
Phineas and Ferb,DS,action,2009-02-03,Disney Interactive Studios,Disney Interactive Studios,1.85,1.33,0.37,NA,0.15
LEGO Star Wars III: The Clone Wars,Wii,action,2011-03-22,LucasArts,Traveller's Tales,1.79,1.01,0.62,NA,0.15
SpongeBob SquarePants: SuperSponge,PS,action,2001-09-21,THQ,Climax Group,1.78,1.12,0.58,NA,0.08
The Getaway: Black Monday,PS2,action,2005-01-11,Sony Computer Entertainment,Team Soho,1.78,0.39,1.01,0.02,0.36
Far Cry 5,XOne,action,2018-03-27,Ubisoft,Ubisoft Montreal,1.78,1.14,0.47,NA,0.17
50 Cent: Bulletproof,PS2,action,2005-11-17,Vivendi Games,Genuine,1.77,0.85,0.76,NA,0.16
State of Emergency,PS2,action,2002-02-12,Rockstar Games,VIS Entertainment,1.76,0.86,0.67,NA,0.22
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,action,2007-02-27,THQ,Helixe / Altron,1.76,1.26,0.47,NA,0.03
Kinect Star Wars,X360,action,2012-04-03,Microsoft Studios,Terminal Reality,1.76,1.05,0.53,0.03,0.15
Just Cause 2,PS3,action,2010-03-23,Square Enix,Avalanche Studios,1.75,0.45,0.92,0.06,0.32
For Honor,PS4,action,2017-02-14,Ubisoft,Ubisoft Montreal,1.75,0.73,0.66,0.07,0.28
LEGO City Undercover: The Chase Begins,3DS,action,2013-04-21,Nintendo,TT Fusion,1.74,0.54,0.99,0.08,0.12
Twisted Metal III,PS,action,1998-10-31,989 Studios,989 Studios,1.73,1.48,0.2,NA,0.05
Harry Potter and the Sorcerer's Stone,GB,action,2001-11-21,Electronic Arts,Griptonite Games,1.73,0.94,0.62,0.1,0.07
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,action,2003-10-21,Rockstar Games,Rockstar North,1.72,0.85,0.66,NA,0.22
Hitman: Absolution,X360,action,2012-11-20,Square Enix,IO Interactive,1.7,0.68,0.88,0.01,0.13
Ben 10: Protector of Earth,DS,action,2007-10-30,D3 Publisher,1st Playable Productions,1.7,0.68,0.82,NA,0.19
Saints Row IV,X360,action,2013-08-20,Deep Silver,Volition Inc.,1.69,1.01,0.51,0.01,0.15
Harry Potter and the Sorcerer's Stone,GBA,action,2001-11-15,Electronic Arts,Griptonite Games,1.69,0.87,0.66,0.08,0.08
Resident Evil 4,GC,action,2005-01-11,Capcom,Capcom Production Studio 4,1.69,0.98,0.42,0.22,0.06
Saints Row 2,PS3,action,2008-10-14,THQ,Volition Inc.,1.68,0.88,0.54,0.02,0.24
Monster Hunter Double Cross,3DS,action,2017-03-18,Capcom,Capcom,1.68,NA,NA,1.68,NA
Star Wars The Clone Wars: Lightsaber Duels,Wii,action,2008-11-11,LucasArts,Krome Studios,1.65,1.21,0.3,NA,0.14
Heavenly Sword,PS3,action,2007-09-12,Sony Computer Entertainment,Ninja Theory,1.65,0.57,0.73,0.06,0.29
Dead Rising 3,XOne,action,2013-11-22,Microsoft Studios,Capcom,1.63,1.06,0.4,0.01,0.15
Uncharted: Golden Abyss,PSV,action,2012-02-15,Sony Computer Entertainment,SCEA Bend Studio / Naughty Dog,1.62,0.53,0.71,0.13,0.25
Just Cause 2,X360,action,2010-03-23,Square Enix,Avalanche Studios,1.6,0.59,0.83,0.02,0.17
Devil May Cry 4,PS3,action,2008-02-05,Capcom,Capcom,1.58,0.58,0.45,0.34,0.2
Batman: Arkham Knight,XOne,action,2015-06-23,Warner Bros. Interactive Entertainment,Rocksteady Studios,1.58,0.97,0.46,NA,0.14
LEGO Pirates of the Caribbean: The Video Game,Wii,action,2011-05-10,Disney Interactive Studios,Traveller's Tales,1.57,0.73,0.69,NA,0.15
Hannah Montana: Music Jam,DS,action,2007-10-16,Disney Interactive Studios,Fall Line Studio,1.56,1.05,0.36,NA,0.15
Twisted Metal,PS,action,1995-11-05,Sony Computer Entertainment,SingleTrac,1.56,1.32,0.19,NA,0.05
Final Fight,SNES,action,1991-11-10,Capcom,Capcom,1.56,0.67,0.17,0.69,0.03
Mafia II,X360,action,2010-08-24,2K Games,Illusion Softworks,1.56,0.85,0.55,NA,0.15
Spider-Man 2: Enter: Electro,PS,action,2001-10-17,Activision,Vicarious Visions,1.55,0.57,0.87,0.02,0.09
Pac-Man World 2,PS2,action,2002-02-24,Namco,Namco,1.51,1.26,0.05,NA,0.21
Star Wars: The Force Unleashed II,PS3,action,2010-10-26,LucasArts,LucasArts,1.51,0.8,0.5,NA,0.21
Dragon Ball: Xenoverse 2,PS4,action,2016-10-25,Namco Bandai Games,Dimps Corporation,1.5,0.54,0.59,0.14,0.23
Metal Gear Rising: Revengeance,PS3,action,2013-02-19,Konami Digital Entertainment,PlatinumGames,1.5,0.47,0.41,0.44,0.18
Pac-Man World,PS,action,1999-09-30,Namco,Namco,1.5,1.21,0.14,0.1,0.04
Mafia II,PS3,action,2010-08-24,2K Games,Illusion Softworks,1.49,0.5,0.7,0.04,0.25
Dead Rising 2,X360,action,2010-09-28,Capcom,Blue Castle Games,1.49,0.75,0.53,0.09,0.13
LEGO Star Wars III: The Clone Wars,X360,action,2011-03-22,LucasArts,Traveller's Tales,1.48,0.84,0.51,NA,0.13
Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,action,2004-03-23,Ubisoft,Ubisoft Shanghai,1.48,0.82,0.59,NA,0.07
Dying Light,XOne,action,2016-02-06,Warner Bros. Interactive Entertainment,Techland,1.47,1.01,0.31,0.01,0.14
Ryse: Son of Rome,XOne,action,2013-11-22,Microsoft Studios,Crytek,1.47,0.84,0.49,0,0.13
The SpongeBob SquarePants Movie,GBA,action,2004-10-27,THQ,WayForward,1.46,1.02,0.38,NA,0.06
Resident Evil 4,Wii,action,2007-06-19,Capcom,Capcom Production Studio 4,1.46,1.26,0.06,0.14,NA
Onimusha 3: Demon Siege,PS2,action,2004-04-27,Capcom,Capcom,1.45,0.37,0.47,0.54,0.07
Resident Evil Outbreak,PS2,action,2004-03-31,Capcom,Capcom Production Studio 1,1.45,0.54,0.35,0.46,0.1
Assassin's Creed Syndicate,XOne,action,2015-10-23,Ubisoft,Ubisoft Quebec,1.44,0.71,0.61,NA,0.12
Star Wars: The Force Unleashed II,X360,action,2010-10-26,LucasArts,LucasArts,1.44,0.95,0.37,NA,0.12
Frogger 2: Swampy's Revenge,PS,action,2000-10-10,Hasbro Interactive,Blitz Games,1.43,0.8,0.54,NA,0.09
Middle-Earth: Shadow of Mordor,XOne,action,2014-09-30,Warner Bros. Interactive Entertainment,Monolith Productions,1.42,0.77,0.52,0.01,0.12
Resident Evil,GC,action,2002-04-30,Capcom,Capcom,1.42,0.63,0.38,0.35,0.05
Yu-Gi-Oh! The Duelists of the Roses,PS2,action,2003-02-16,Konami,Konami,1.41,1.07,0.35,NA,NA
LEGO Star Wars: The Video Game,GC,action,2005-10-25,Eidos Interactive,Traveller's Tales,1.41,1.09,0.28,NA,0.04
LEGO Star Wars II: The Original Trilogy,PSP,action,2006-09-12,LucasArts,Traveller's Tales,1.41,0.58,0.51,NA,0.32
The Lion King,GEN,action,1994-12-08,Virgin Interactive,Westwood Studios,1.41,0.97,0.37,0.03,0.05
Spider-Man: The Movie,XB,action,2002-04-15,Activision,Treyarch,1.4,1.07,0.28,NA,0.05
Toy Story 3: The Video Game,Wii,action,2010-06-15,Disney Interactive Studios,Avalanche Software,1.39,0.63,0.62,NA,0.14
Teenage Mutant Ninja Turtles III: The Manhattan Project,NES,action,1992-02-01,Konami,Konami,1.39,1.05,0.17,0.15,0.02
Dynasty Warriors 5,PS2,action,2005-03-29,KOEI,Omega Force,1.39,0.24,0.18,0.91,0.06
Hannah Montana: Spotlight World Tour,Wii,action,2007-11-06,Disney Interactive Studios,Avalanche Software,1.39,0.87,0.38,NA,0.13
Bakugan: Battle Brawlers,DS,action,2009-10-20,Activision,MTO,1.38,1.26,0.02,NA,0.1
True Crime: Streets of LA,XB,action,2003-11-03,Activision,Luxoflux,1.38,0.96,0.37,NA,0.05
Dead Rising 2,PS3,action,2010-09-28,Capcom,Blue Castle Games,1.37,0.43,0.57,0.15,0.22
Metroid: Other M,Wii,action,2010-08-31,Nintendo,Nintendo SPD Production Group 1/Team Ninja,1.36,0.85,0.28,0.13,0.1
Samurai Warriors,PS2,action,2004-05-06,KOEI,Omega Force,1.35,0.22,0.05,1.06,0.02
Watch Dogs 2,XOne,action,2016-11-15,Ubisoft,Ubisoft,1.35,0.71,0.53,NA,0.12
Devil May Cry 4,X360,action,2008-02-05,Capcom,Capcom,1.34,0.79,0.34,0.08,0.13
Grand Theft Auto V,PC,action,2015-04-14,Rockstar Games,Rockstar North,1.33,0.48,0.76,NA,0.1
Saints Row IV,PS3,action,2013-08-20,Deep Silver,Volition Inc.,1.33,0.58,0.45,0.09,0.21
Alan Wake,X360,action,2010-05-18,Microsoft Game Studios,Remedy Entertainment,1.33,0.66,0.5,0.05,0.12
Kirby: Planet Robobot,3DS,action,2016-06-10,Nintendo,HAL Laboratory,1.32,0.41,0.22,0.64,0.06
Fighting Force,PS,action,1997-10-31,Eidos Interactive,Core Design Ltd.,1.32,0.73,0.5,NA,0.09
[Prototype],X360,action,2009-06-09,Activision,Radical Entertainment,1.31,0.84,0.35,NA,0.12
Assassin's Creed: Rogue,PS3,action,2014-11-11,Ubisoft,Ubisoft Sofia,1.3,0.46,0.57,0.07,0.2
Resident Evil Zero,GC,action,2002-11-12,Capcom,Capcom Production Studio 3 / Flagship,1.29,0.54,0.27,0.45,0.04
Kid Icarus: Uprising,3DS,action,2012-03-23,Nintendo,Project Sora,1.28,0.48,0.36,0.37,0.07
Army Men 3D,PS,action,1999-02-28,3DO,3DO,1.28,1.1,0.14,NA,0.04
Manhunt,PS2,action,2003-11-18,Rockstar Games,Rockstar North,1.28,0.63,0.49,NA,0.16
Silent Hill 2,PS2,action,2001-09-24,Konami,KCET,1.28,0.62,0.49,NA,0.16
Jet Li: Rise to Honor,PS2,action,2004-02-17,Sony Computer Entertainment,Sony Computer Entertainment America,1.27,0.62,0.48,NA,0.16
